name,display_name,color,price,w,h,d,B,ED,UPC,lab_material,material,Product head-on view pic,Product three quarter view pic,description
CR5009,39,Honey Tortoise ,129,50,21,140,42.4,53.3,796764585449,Plastic,Acetate,CR5009_22_product_0,CR5009_22_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR5010,10,Gunmetal,99,62,13,140,49.1,66.9,796764585517,Metal,Metal,CR5010_00_product_0,CR5010_00_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5010,10,Gold,99,62,13,140,49.1,66.9,796764585524,Metal,Metal,CR5010_04_product_0,CR5010_04_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5010,10,Silver,99,62,13,140,49.1,66.9,796764585531,Metal,Metal,CR5010_10_product_0,CR5010_10_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5011,03,Crystal,99,51,21,135,45.9,55.8,796764585630,Plastic,Acetate,CR5011_00_product_0,CR5011_00_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Black,99,51,21,135,45.9,55.8,796764585609,Plastic,Acetate,CR5011_01_product_0,CR5011_01_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Indigo,99,51,21,135,45.9,55.8,796764585623,Plastic,Acetate,CR5011_05_product_0,CR5011_05_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Honey Tortoise ,99,51,21,135,45.9,55.8,796764585616,Plastic,Acetate,CR5011_22_product_0,CR5011_22_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5012,29,Black,129,50,19,140,42.7,55.1,796764584787,Plastic,Acetate,CR5012_01_product_0,CR5012_01_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
CR5012,29,Dark Tortoise,129,50,19,140,42.7,55.1,796764584800,Plastic,Acetate,CR5012_02_product_0,CR5012_02_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
CR5012,29,Indigo,129,50,19,140,42.7,55.1,796764584794,Plastic,Acetate,CR5012_05_product_0,CR5012_05_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
CR5013,33,Black,129,53,18,140,43.5,57.7,796764584817,Plastic,Acetate,CR5013_01_product_0,CR5013_01_product_three_quarter_view,Oversized rectangle with an outsize personality to match.
CR5013,33,Brown Fade,129,53,18,140,43.5,57.7,796764584824,Plastic,Acetate,CR5013_02_product_0,CR5013_02_product_three_quarter_view,Oversized rectangle with an outsize personality to match.
CR5013,33,Emerald,129,53,18,140,43.5,57.7,796764584831,Plastic,Acetate,CR5013_07_product_0,CR5013_07_product_three_quarter_view,Oversized rectangle with an outsize personality to match.
CR5014,78,Black,129,50,24,140,45.8,54.8,796764585548,Plastic,Acetate,CR5014_10_product_0,CR5014_10_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5014,78,Blush,129,50,24,140,45.8,54.8,796764585562,Plastic,Acetate,CR5014_10_product_0,CR5014_10_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5014,78,Honey Tortoise ,129,50,24,140,45.8,54.8,796764587597,Plastic,Acetate,CR5014_22_product_0,CR5014_22_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5014_sun,78,Black,99,50,24,140,45.8,54.8,796764585579,Plastic,Acetate,CR5014_01_sun_product_0,CR5014_01_sun_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5014_sun,78,Blush,99,50,24,140,45.8,54.8,796764585593,Plastic,Acetate,CR5014_10_sun_product_0,CR5014_10_sun_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5014_sun,78,Honey Tortoise ,99,50,24,140,45.8,54.8,796764587610,Plastic,Acetate,CR5014_22_sun_product_0,CR5014_22_sun_product_three_quarter_view,"Direct from the Spring '13 runway, this bold frame is a statement-making accessory."
CR5015,07,Black,99,51,21,140,37.8,54.6,796764584848,Plastic,Acetate,CR5015_01_product_0,CR5015_01_product_three_quarter_view,A ladylike rendition of the classic wayfarer.
CR5015,07,Red,99,51,21,140,37.8,54.6,796764584862,Plastic,Acetate,CR5015_06_product_0,CR5015_06_product_three_quarter_view,A ladylike rendition of the classic wayfarer.
CR5015,07,Honey Tortoise ,99,51,21,140,37.8,54.6,796764584855,Plastic,Acetate,CR5015_22_product_0,CR5015_22_product_three_quarter_view,A ladylike rendition of the classic wayfarer.
CR5016,61,Black,99,60,16,145,51.2,65.8,796764584879,Plastic,Acetate,CR5016_01_product_0,CR5016_01_product_three_quarter_view,An oversized frame for the downtown Holly Golightly girl.
CR5016,61,Brown Crystal Fade,99,60,16,145,51.2,65.8,796764584886,Plastic,Acetate,CR5016_02_product_0,CR5016_02_product_three_quarter_view,An oversized frame for the downtown Holly Golightly girl.
CR5016,61,Blue Tortoise,99,60,16,145,51.2,65.8,796764584893,Plastic,Acetate,CR5016_05_product_0,CR5016_05_product_three_quarter_view,An oversized frame for the downtown Holly Golightly girl.
CR5017,74,Black/White Tortoise,99,57,60,130,40.3,56.1,796764585012,Metal,Combination,CR5017_00_product_0,CR5017_00_product_three_quarter_view,A bold flat-top  combination sunglass. Make these your signature look.
CR5017,74,Black Texture,99,57,60,130,40.3,56.1,796764584992,Metal,Combination,CR5017_02_product_0,CR5017_02_product_three_quarter_view,A bold flat-top  combination sunglass. Make these your signature look.
CR5017,74,Honey Tortoise ,99,57,60,130,40.3,56.7,796764585005,Metal,Combination,CR5017_05_product_0,CR5017_05_product_three_quarter_view,A bold flat-top  combination sunglass. Make these your signature look.
CR6000,97,Black,129,54,18,138,43,56.6,796764585753,Plastic,Acetate,CR6000_01_product_0,CR6000_01_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6000,97,Green Horn,129,54,18,138,43,56.6,796764585746,Plastic,Acetate,CR6000_08_product_0,CR6000_08_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6000,97,Brown Wood,129,54,18,138,43,56.6,796764585760,Plastic,Acetate,CR6000_22_product_0,CR6000_22_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6000_sun,97,Black,99,54,18,138,43,56.6,796764585784,Plastic,Acetate,CR6000_sun_01_product_0,CR6000_sun_01_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6000_sun,97,Green Horn,99,54,18,138,43,56.6,796764585777,Plastic,Acetate,CR6000_sun_08_product_0,CR6000_sun_08_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6000_sun,97,Brown Wood,99,54,18,138,43,56.6,796764585791,Plastic,Acetate,CR6000_sun_22_product_0,CR6000_sun_22_product_three_quarter_view,A modern spin on your grandfather's most trusted pair.
CR6001,54,Black Texture,129,56,17,140,37,60.8,796764585029,Plastic,Acetate,CR6001_01_product_0,CR6001_01_product_three_quarter_view,Clean lines on an angular frame will always be a solid choice.
CR6001,54,Dark Tortoise,129,56,17,140,37,60.8,796764585050,Plastic,Acetate,CR6001_02_product_0,CR6001_02_product_three_quarter_view,Clean lines on an angular frame will always be a solid choice.
CR6001,54,Green Fade,129,56,17,140,37,60.8,796764585036,Plastic,Acetate,CR6001_08_product_0,CR6001_08_product_three_quarter_view,Clean lines on an angular frame will always be a solid choice.
CR6002,85,Black,129,52,17,135,37.5,55.7,796764585067,Plastic,Acetate,CR6002_01_product_0,CR6002_01_product_three_quarter_view,"With a retro-inspired shape in the sickest colors, you'll look on point with this geometric pair."
